"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","Storage Media","Group","Group Description","usageType","operation","Alarm Type","Database Engine Type","Instance Configuration Type","Logs Destination","OTel_Type","Region Code","Retention","serviceName","Type","Type Description","Version"
"KJSYDR48F949USPJ","JRTCKXETXF","KJSYDR48F949USPJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000613 per ACU-Hour for first month retention monitored by Database Insights (Standard Mode) for Aurora-PostgreSQL Serverless in EU (Frankfurt)","2026-08-01","0","Inf","ACU-Hours","0.0006130000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","EU (Frankfurt)","AWS Region",,,,"EUC1-CW:DatabaseInsights-Standard-FMR-ACU-Hours","Aurora-PostgreSQL:Serverless",,"Aurora-PostgreSQL","Serverless",,,"eu-central-1","FMR","AmazonCloudWatch",,,
"KK2D9KJVZAMGGF8T","JRTCKXETXF","KK2D9KJVZAMGGF8T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002416 per vCPU-Hour for first month retention monitored by Database Insights (Standard Mode) for RDS MySQL Provisioned in AWS GovCloud (US-West)","2026-08-01","0","Inf","vCPU-Hours","0.0024160000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","AWS GovCloud (US-West)","AWS Region",,,,"UGW1-CW:DatabaseInsights-Standard-FMR-vCPU-Hours","RDS-MySQL:Provisioned",,"RDS MySQL","Provisioned",,,"us-gov-west-1","FMR","AmazonCloudWatch",,,
"KKN3KBAC239GNB3Z","JRTCKXETXF","KKN3KBAC239GNB3Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per vCPU-Hour monitored by Database Insights for RDS PostgreSQL provisioned databases in South America (Sao Paulo)","2026-08-01","0","Inf","vCPU-Hours","0.0125000000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","South America (Sao Paulo)","AWS Region",,"CW-DatabaseInsights","Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases","SAE1-CW:DatabaseInsights-vCPU-Hours","RDS-PostgreSQL:Provisioned",,"RDS PostgreSQL","Provisioned",,,"sa-east-1",,"AmazonCloudWatch",,,
"KKRJAXR7KQ6WN8Z4","JRTCKXETXF","KKRJAXR7KQ6WN8Z4.JRTCKXETXF.Q3Z75P77EN","OnDemand","$0.38 per GB for the first 10TB of vended log data delivered to S3 per month in Asia Pacific (Tokyo)","2026-08-01","0","10240","GB","0.3800000000","USD","85NYBRRPURC8EH9H","Data Payload","AmazonCloudWatch","Asia Pacific (Tokyo)","AWS Region",,"Delivered Logs","Logs generated by AWS WAF and delivered to Amazon S3","APN1-S3-Egress-Bytes-WAFLogs","",,,,"Amazon S3",,"ap-northeast-1",,"AmazonCloudWatch",,,"Current"
"KKRJAXR7KQ6WN8Z4","JRTCKXETXF","KKRJAXR7KQ6WN8Z4.JRTCKXETXF.JM86AE7V7B","OnDemand","$0.228 per GB for the next 20TB of vended log data delivered to S3 per month in Asia Pacific (Tokyo)","2026-08-01","10240","30720","GB","0.2280000000","USD","85NYBRRPURC8EH9H","Data Payload","AmazonCloudWatch","Asia Pacific (Tokyo)","AWS Region",,"Delivered Logs","Logs generated by AWS WAF and delivered to Amazon S3","APN1-S3-Egress-Bytes-WAFLogs","",,,,"Amazon S3",,"ap-northeast-1",,"AmazonCloudWatch",,,"Current"
"KKRJAXR7KQ6WN8Z4","JRTCKXETXF","KKRJAXR7KQ6WN8Z4.JRTCKXETXF.AMET9K77J3","OnDemand","$0.114 per GB for the next 20TB of vended log data delivered to S3 per month in Asia Pacific (Tokyo)","2026-08-01","30720","51200","GB","0.1140000000","USD","85NYBRRPURC8EH9H","Data Payload","AmazonCloudWatch","Asia Pacific (Tokyo)","AWS Region",,"Delivered Logs","Logs generated by AWS WAF and delivered to Amazon S3","APN1-S3-Egress-Bytes-WAFLogs","",,,,"Amazon S3",,"ap-northeast-1",,"AmazonCloudWatch",,,"Current"
"KKRJAXR7KQ6WN8Z4","JRTCKXETXF","KKRJAXR7KQ6WN8Z4.JRTCKXETXF.AQTKZ3QBDA","OnDemand","$0.076 per GB for over 50TB of vended log data delivered to S3 per month in Asia Pacific (Tokyo)","2026-08-01","51200","Inf","GB","0.0760000000","USD","85NYBRRPURC8EH9H","Data Payload","AmazonCloudWatch","Asia Pacific (Tokyo)","AWS Region",,"Delivered Logs","Logs generated by AWS WAF and delivered to Amazon S3","APN1-S3-Egress-Bytes-WAFLogs","",,,,"Amazon S3",,"ap-northeast-1",,"AmazonCloudWatch",,,"Current"
"KKSE8ZC3WGWEP8QD","JRTCKXETXF","KKSE8ZC3WGWEP8QD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002421 per vCPU-Hour for first month retention monitored by Database Insights (Standard Mode) for RDS SQL Server Provisioned in Middle East (Bahrain)","2026-08-01","0","Inf","vCPU-Hours","0.0024210000","USD",,"CloudWatch Database Insights","AmazonCloudWatch","Middle East (Bahrain)","AWS Region",,,,"MES1-CW:DatabaseInsights-Standard-FMR-vCPU-Hours","RDS-SQLServer:Provisioned",,"RDS SQL Server","Provisioned",,,"me-south-1","FMR","AmazonCloudWatch",,,
"KKUTRXZP4UYW7WA5","JRTCKXETXF","KKUTRXZP4UYW7WA5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.027 per million Events for CW:ContributorInsightEvents in Africa (Cape Town)","2026-08-01","0","Inf","Events","0.0000000270","USD","P2RPRQDEQ5Z55MMA",,"AmazonCloudWatch","Africa (Cape Town)","AWS Region",,"Event-CloudWatchLog","CloudWatch Contributor Insights Matched Events","AFS1-CW:ContributorInsightEvents","",,,,,,"af-south-1",,"AmazonCloudWatch",,,
"KM89CSTAVUNWAFKE","JRTCKXETXF","KM89CSTAVUNWAFKE.JRTCKXETXF.Q3Z75P77EN","OnDemand","$0.76 per GB for the first 10TB of vended log data ingested to CloudWatch logs per month in Asia Pacific (Osaka)","2026-08-01","0","10240","GB","0.7600000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","Asia Pacific (Osaka)","AWS Region",,"Ingested Logs","Logs generated by AWS WAF and delivered to CloudWatch as Vended Logs Standard","APN3-VendedLog-Bytes-WAFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"ap-northeast-3",,"AmazonCloudWatch",,,"Current"
"KM89CSTAVUNWAFKE","JRTCKXETXF","KM89CSTAVUNWAFKE.JRTCKXETXF.JM86AE7V7B","OnDemand","$0.38 per GB for the next 20TB of vended log data ingested to CloudWatch logs per month in Asia Pacific (Osaka)","2026-08-01","10240","30720","GB","0.3800000000","USD","SSNSJENVU973ECHE","Data Payload","AmazonCloudWatch","Asia Pacific (Osaka)","AWS Region",,"Ingested Logs","Logs generated by AWS WAF and delivered to CloudWatch as Vended Logs Standard","APN3-VendedLog-Bytes-WAFLogs","PutLogEvents",,,,"Amazon CloudWatch Logs",,"ap-northeast-3",,"AmazonCloudWatch",,,"Current"
