"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Tenancy","usageType","operation","CapabilityType","CPUType","EKSCapabilityUnits","EKSProductType","InstanceType","MemoryType","Region Code","serviceName","StorageType","TierType"
"RMTU6KF3PZ2DV7C7","JRTCKXETXF","RMTU6KF3PZ2DV7C7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.59667 per hour for EKS Auto Mode management of m7i.metal-48xl in Asia Pacific (Hong Kong)","2026-08-01","0","Inf","hours","1.5966700000","USD","Compute","AmazonEKS","Asia Pacific (Hong Kong)","AWS Region",,"APE1-EKS-Auto:m7i.metal-48xl-management-hours","EKSAutoUsage",,,,"AutoMode","m7i.metal-48xl",,"ap-east-1","Amazon Elastic Container Service for Kubernetes",,
"RMV8VJ8SEW6S2W5D","JRTCKXETXF","RMV8VJ8SEW6S2W5D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1028 per hour for EKS Auto Mode management of g6.2xlarge in Europe (Zurich)","2026-08-01","0","Inf","hours","0.1028000000","USD","Compute","AmazonEKS","Europe (Zurich)","AWS Region",,"EUC2-EKS-Auto:g6.2xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","g6.2xlarge",,"eu-central-2","Amazon Elastic Container Service for Kubernetes",,
"RMZFNTW88ESE43T8","JRTCKXETXF","RMZFNTW88ESE43T8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.49421 per hour for EKS Auto Mode management of i8g.12xlarge in US East (N. Virginia)","2026-08-01","0","Inf","hours","0.4942100000","USD","Compute","AmazonEKS","US East (N. Virginia)","AWS Region",,"EKS-Auto:i8g.12xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","i8g.12xlarge",,"us-east-1","Amazon Elastic Container Service for Kubernetes",,
"RN38WJGBRNNPR86S","JRTCKXETXF","RN38WJGBRNNPR86S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.87091 per hour for EKS Auto Mode management of r6id.24xlarge in US East (N. Virginia)","2026-08-01","0","Inf","hours","0.8709100000","USD","Compute","AmazonEKS","US East (N. Virginia)","AWS Region",,"EKS-Auto:r6id.24xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r6id.24xlarge",,"us-east-1","Amazon Elastic Container Service for Kubernetes",,
"RN3EBYBC765PNTCF","JRTCKXETXF","RN3EBYBC765PNTCF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.46387 per hour for EKS Auto Mode management of r6g.metal in Asia Pacific (Melbourne)","2026-08-01","0","Inf","hours","0.4638700000","USD","Compute","AmazonEKS","Asia Pacific (Melbourne)","AWS Region",,"APS6-EKS-Auto:r6g.metal-management-hours","EKSAutoUsage",,,,"AutoMode","r6g.metal",,"ap-southeast-4","Amazon Elastic Container Service for Kubernetes",,
"RN5PW59V3A929JUH","JRTCKXETXF","RN5PW59V3A929JUH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01984 per hour for EKS Auto Mode management of r8gd.large in US West (N. California)","2026-08-01","0","Inf","hours","0.0198400000","USD","Compute","AmazonEKS","US West (N. California)","AWS Region",,"USW1-EKS-Auto:r8gd.large-management-hours","EKSAutoUsage",,,,"AutoMode","r8gd.large",,"us-west-1","Amazon Elastic Container Service for Kubernetes",,
"RN62QVVN6XD345ZH","JRTCKXETXF","RN62QVVN6XD345ZH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01624 per hour for EKS Auto Mode management of r8i-flex.large in Asia Pacific (Malaysia)","2026-08-01","0","Inf","hours","0.0162400000","USD","Compute","AmazonEKS","Asia Pacific (Malaysia)","AWS Region",,"APS7-EKS-Auto:r8i-flex.large-management-hours","EKSAutoUsage",,,,"AutoMode","r8i-flex.large",,"ap-southeast-5","Amazon Elastic Container Service for Kubernetes",,
"RN6QSUBWC97QKC8R","JRTCKXETXF","RN6QSUBWC97QKC8R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.58752 per hour for EKS Auto Mode management of p3.8xlarge in US West (Oregon)","2026-08-01","0","Inf","hours","0.5875200000","USD","Compute","AmazonEKS","US West (Oregon)","AWS Region",,"USW2-EKS-Auto:p3.8xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","p3.8xlarge",,"us-west-2","Amazon Elastic Container Service for Kubernetes",,
"RN824RPNJXXWND2D","JRTCKXETXF","RN824RPNJXXWND2D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02767 per hour for EKS Auto Mode management of c7gd.xlarge in Asia Pacific (Osaka)","2026-08-01","0","Inf","hours","0.0276700000","USD","Compute","AmazonEKS","Asia Pacific (Osaka)","AWS Region",,"APN3-EKS-Auto:c7gd.xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","c7gd.xlarge",,"ap-northeast-3","Amazon Elastic Container Service for Kubernetes",,
"RNFWG8TWZA54RGPE","JRTCKXETXF","RNFWG8TWZA54RGPE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.06528 per hour for EKS Auto Mode management of m5d.2xlarge in EU (Frankfurt)","2026-08-01","0","Inf","hours","0.0652800000","USD","Compute","AmazonEKS","EU (Frankfurt)","AWS Region",,"EUC1-EKS-Auto:m5d.2xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","m5d.2xlarge",,"eu-central-1","Amazon Elastic Container Service for Kubernetes",,
