"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Volume Type","Group","Group Description","usageType","operation","Region Code","serviceName","TableClass"
"3SA2U6N9TXNT4R2N","YTVHEVGPBZ","3SA2U6N9TXNT4R2N.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Amazon DynamoDB, Reserved Write Capacity used this month","2026-08-04","0","Inf","WriteCapacityUnit-Hrs","0.0001440000","USD","1yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","US West (N. California)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USW1-WriteCapacityUnit-Hrs","CommittedThroughput","us-west-1","Amazon DynamoDB",
"3SA2U6N9TXNT4R2N","YTVHEVGPBZ","3SA2U6N9TXNT4R2N.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2026-08-04",,,"Quantity","1.68","USD","1yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","US West (N. California)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USW1-WriteCapacityUnit-Hrs","CommittedThroughput","us-west-1","Amazon DynamoDB",
"3SSDRADNWP4RYFMG","JRTCKXETXF","3SSDRADNWP4RYFMG.JRTCKXETXF.HBHVWY47CM","OnDemand","$0.00 per hour for 25 units of write capacity for a month (free tier)","2026-07-01","0","18600","WriteCapacityUnit-Hrs","0.0000000000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","US East (Ohio)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USE2-WriteCapacityUnit-Hrs","CommittedThroughput","us-east-2","Amazon DynamoDB",
"3SSDRADNWP4RYFMG","JRTCKXETXF","3SSDRADNWP4RYFMG.JRTCKXETXF.E63J5HTPNN","OnDemand","$0.00065 per hour for units of write capacity beyond the free tier","2026-07-01","18600","Inf","WriteCapacityUnit-Hrs","0.0006500000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","US East (Ohio)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USE2-WriteCapacityUnit-Hrs","CommittedThroughput","us-east-2","Amazon DynamoDB",
"3SSDRADNWP4RYFMG","YTVHEVGPBZ","3SSDRADNWP4RYFMG.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Amazon DynamoDB, Reserved Write Capacity used this month","2026-08-04","0","Inf","WriteCapacityUnit-Hrs","0.0001280000","USD","1yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","US East (Ohio)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USE2-WriteCapacityUnit-Hrs","CommittedThroughput","us-east-2","Amazon DynamoDB",
"3SSDRADNWP4RYFMG","YTVHEVGPBZ","3SSDRADNWP4RYFMG.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2026-08-04",,,"Quantity","1.5","USD","1yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","US East (Ohio)","AWS Region",,"DDB-WriteUnits","DynamoDB Provisioned Write Units","USE2-WriteCapacityUnit-Hrs","CommittedThroughput","us-east-2","Amazon DynamoDB",
"3TCNGMKPYCN6RSKN","JRTCKXETXF","3TCNGMKPYCN6RSKN.JRTCKXETXF.HBHVWY47CM","OnDemand","$0.00 per hour for 25 units of read capacity for a month (free tier)","2026-07-01","0","18600","ReadCapacityUnit-Hrs","0.0000000000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","Asia Pacific (Osaka)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","APN3-ReadCapacityUnit-Hrs","CommittedThroughput","ap-northeast-3","Amazon DynamoDB",
"3TCNGMKPYCN6RSKN","JRTCKXETXF","3TCNGMKPYCN6RSKN.JRTCKXETXF.E63J5HTPNN","OnDemand","$0.0001484 per hour for units of read capacity beyond the free tier","2026-07-01","18600","Inf","ReadCapacityUnit-Hrs","0.0001484000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","Asia Pacific (Osaka)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","APN3-ReadCapacityUnit-Hrs","CommittedThroughput","ap-northeast-3","Amazon DynamoDB",
"3TCNGMKPYCN6RSKN","YTVHEVGPBZ","3TCNGMKPYCN6RSKN.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Amazon DynamoDB, Reserved Read Capacity used this month","2026-08-04","0","Inf","ReadCapacityUnit-Hrs","0.0000290000","USD","1yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","Asia Pacific (Osaka)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","APN3-ReadCapacityUnit-Hrs","CommittedThroughput","ap-northeast-3","Amazon DynamoDB",
"3TCNGMKPYCN6RSKN","YTVHEVGPBZ","3TCNGMKPYCN6RSKN.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2026-08-04",,,"Quantity","0.342","USD","1yr","Heavy Utilization","standard","Provisioned IOPS","AmazonDynamoDB","Asia Pacific (Osaka)","AWS Region",,"DDB-ReadUnits","DynamoDB Provisioned Read Units","APN3-ReadCapacityUnit-Hrs","CommittedThroughput","ap-northeast-3","Amazon DynamoDB",
"3UJSCJQMBFWGT3SM","JRTCKXETXF","3UJSCJQMBFWGT3SM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.89 per million IA write request units in Asia Pacific (Melbourne)","2026-07-01","0","Inf","WriteRequestUnits","0.0000008900","USD",,,,"Amazon DynamoDB PayPerRequest Throughput","AmazonDynamoDB","Asia Pacific (Melbourne)","AWS Region",,"DDB-WriteUnitsIA","DynamoDB PayPerRequest Write Request Units IA","APS6-IA-WriteRequestUnits","PayPerRequestThroughput","ap-southeast-4","Amazon DynamoDB",
"3UPCYT9CEE2MK2RZ","JRTCKXETXF","3UPCYT9CEE2MK2RZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1856 per million IA read request units in EU (Paris)","2026-07-01","0","Inf","ReadRequestUnits","0.0000001856","USD",,,,"Amazon DynamoDB PayPerRequest Throughput","AmazonDynamoDB","EU (Paris)","AWS Region",,"DDB-ReadUnitsIA","DynamoDB PayPerRequest Read Request Units IA","EUW3-IA-ReadRequestUnits","PayPerRequestThroughput","eu-west-3","Amazon DynamoDB",
"3UPHCSRYPYQNZZFB","JRTCKXETXF","3UPHCSRYPYQNZZFB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0001600 per hour for units of IA read capacity in US West (Oregon)","2026-07-01","0","Inf","ReadCapacityUnit-Hrs","0.0001600000","USD",,,,"Provisioned IOPS","AmazonDynamoDB","US West (Oregon)","AWS Region",,"DDB-ReadUnitsIA","DynamoDB Provisioned Read Units IA","USW2-IA-ReadCapacityUnit-Hrs","CommittedThroughput","us-west-2","Amazon DynamoDB",
"3UUM4JNPGEHFQAJM","JRTCKXETXF","3UUM4JNPGEHFQAJM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1785 per GB for data import in EU (Milan)","2026-07-01","0","Inf","GB","0.1785000000","USD",,,,"Amazon DynamoDB Import Data Size","AmazonDynamoDB","EU (Milan)","AWS Region","Amazon DynamoDB - Import Size",,,"EUS1-ImportDataSize-Bytes","","eu-south-1","Amazon DynamoDB",
"3VHHM5XHVVVUCGAJ","JRTCKXETXF","3VHHM5XHVVVUCGAJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.625 per million replicated write request units (Oregon)","2026-07-01","0","Inf","ReplicatedWriteRequestUnits","0.0000006250","USD",,,,"Amazon DynamoDB PayPerRequest Throughput","AmazonDynamoDB","US West (Oregon)","AWS Region",,"DDB-ReplicatedWriteUnits","DynamoDB PayPerRequest Replicated Write Request Units","USW2-ReplWriteRequestUnits","PayPerRequestThroughput","us-west-2","Amazon DynamoDB",
"3W5BGZNA3M3V96PD","JRTCKXETXF","3W5BGZNA3M3V96PD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1000 per GB of incremental data exported in US East (N. Virginia)","2026-07-01","0","Inf","GB","0.1000000000","USD",,,,"Amazon DynamoDB Export Data Size","AmazonDynamoDB","US East (N. Virginia)","AWS Region","Amazon DynamoDB - Incremental Export",,,"USE1-IncrementalExportDataSize-Bytes","","us-east-1","Amazon DynamoDB",
"3XWM5KJM296GT93W","JRTCKXETXF","3XWM5KJM296GT93W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.625 per million replicated write request units (N. Virginia)","2026-07-01","0","Inf","ReplicatedWriteRequestUnits","0.0000006250","USD",,,,"Amazon DynamoDB PayPerRequest Throughput","AmazonDynamoDB","US East (N. Virginia)","AWS Region",,"DDB-ReplicatedWriteUnits","DynamoDB PayPerRequest Replicated Write Request Units","ReplWriteRequestUnits","PayPerRequestThroughput","us-east-1","Amazon DynamoDB",
"3Y2ETKRN4WVCGTWV","JRTCKXETXF","3Y2ETKRN4WVCGTWV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.7423 per million write request units  Europe West 3","2026-07-01","0","Inf","WriteRequestUnits","0.0000007423","USD",,,,"Amazon DynamoDB PayPerRequest Throughput","AmazonDynamoDB","EU (Paris)","AWS Region",,"DDB-WriteUnits","DynamoDB PayPerRequest Write Request Units","EUW3-WriteRequestUnits","PayPerRequestThroughput","eu-west-3","Amazon DynamoDB",
"3YGHMWTXVNYSRE32","JRTCKXETXF","3YGHMWTXVNYSRE32.JRTCKXETXF.M9QGYPQ72M","OnDemand","$0.00 for 2.5 million DynamoDB Streams read request units for a month (free tier) (Asia Pacific (Osaka))","2026-07-01","0","2500000","Requests","0.0000000000","USD",,,,"API Request","AmazonDynamoDB","Asia Pacific (Osaka)","AWS Region",,"DDB-StreamsReadRequests","DynamoDB Streams read request (GetRecords API)","APN3-Streams-Requests","GetRecords","ap-northeast-3","Amazon DynamoDB",
"3YGHMWTXVNYSRE32","JRTCKXETXF","3YGHMWTXVNYSRE32.JRTCKXETXF.AUKFMGQW43","OnDemand","$0.000000228 per DynamoDB Streams read request unit beyond free tier (Asia Pacific (Osaka))","2026-07-01","2500000","Inf","Requests","0.0000002280","USD",,,,"API Request","AmazonDynamoDB","Asia Pacific (Osaka)","AWS Region",,"DDB-StreamsReadRequests","DynamoDB Streams read request (GetRecords API)","APN3-Streams-Requests","GetRecords","ap-northeast-3","Amazon DynamoDB",
"3YUK9HKX9X7PG9Y4","JRTCKXETXF","3YUK9HKX9X7PG9Y4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000928 per hour for units of IA replicated write capacity in Asia Pacific (Osaka)","2026-07-01","0","Inf","ReplicatedWriteCapacityUnit-Hrs","0.0009280000","USD",,,,"DDB-Operation-ReplicatedWrite","AmazonDynamoDB","Asia Pacific (Osaka)","AWS Region",,"DDB-ReplicatedWriteUnitsIA","DynamoDB Provisioned Replicated Write Units IA","APN3-IA-ReplWriteCapacityUnit-Hrs","CommittedThroughput","ap-northeast-3","Amazon DynamoDB",
